gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Preference_Tenure,Preference_MonthlyCharges,Preference_TotalCharges,NonPreference_Tenure,NonPreference_MonthlyCharges,NonPreference_TotalCharges
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0.5488135039273248,0.054255836314527905,0.7111983691433996,0.45118649607267525,0.9457441636854721,0.2888016308566004
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0.7151893663724195,0.03945707234553031,0.22582434753815128,0.2848106336275805,0.9605429276544697,0.7741756524618487
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,0.6027633760716439,0.4289064831495769,0.3389777030433415,0.3972366239283561,0.5710935168504231,0.6610222969566585
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0.5448831829968969,0.42532275929302943,0.5480218102192392,0.45511681700310314,0.5746772407069706,0.45197818978076076
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0.4236547993389047,0.6641924370487134,0.4926883406577557,0.5763452006610953,0.33580756295128655,0.5073116593422443
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,0.6458941130666561,0.3899317599690394,0.7830713541884422,0.3541058869333439,0.6100682400309606,0.2169286458115578
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0.4375872112626925,0.22971641962284906,0.22786824256627813,0.5624127887373075,0.770283580377151,0.7721317574337219
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0.8917730007820798,0.09630330550022281,0.8642977072836249,0.10822699921792023,0.9036966944997772,0.13570229271637513
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,0.9636627605010293,0.5711577598292013,0.8157216180642227,0.03633723949897072,0.42884224017079875,0.18427838193577728
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0.3834415188257777,0.21733853020286964,0.40000959772124967,0.6165584811742223,0.7826614697971304,0.5999904022787503
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0.7917250380826646,0.37715051619115414,0.8738403065925879,0.2082749619173354,0.6228494838088459,0.12615969340741207
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0.5288949197529045,0.017530338462825257,0.635515246193691,0.4711050802470955,0.9824696615371747,0.36448475380630896
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0.5680445610939323,0.24904205880259833,0.5505212837523169,0.4319554389060677,0.7509579411974017,0.4494787162476831
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,0.925596638292661,0.6510028102936444,0.587098188346141,0.07440336170733897,0.3489971897063556,0.412901811653859
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0.07103605819788694,0.12313781425888948,0.5144872984531137,0.9289639418021131,0.8768621857411105,0.4855127015468863
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0.08712929970154071,0.6613553841992168,0.647451289442173,0.9128707002984593,0.3386446158007832,0.352548710557827
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0.02021839744032572,0.8604208332925896,0.4347154811612902,0.9797816025596743,0.13957916670741044,0.5652845188387098
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0.832619845547938,0.8693689269415396,0.4536817229053053,0.167380154452062,0.13063107305846045,0.5463182770946947
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,0.7781567509498505,0.15739584912275373,0.22806944940484986,0.22184324905014952,0.8426041508772463,0.7719305505951501
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0.8700121482468192,0.4673326524192285,0.51196016879985,0.12998785175318084,0.5326673475807715,0.48803983120015004
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,0.978618342232764,0.8945636570261328,0.303903019842924,0.021381657767235995,0.10543634297386717,0.696096980157076
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0.7991585642167236,0.7299262003115329,0.35636132647821006,0.2008414357832764,0.2700737996884671,0.6436386735217899
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,0.46147936225293185,0.8663863784803301,0.10384842420917295,0.5385206377470682,0.13361362151966993,0.896151575790827
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0.7805291762864555,0.38689301232674456,0.5734500848586189,0.21947082371354454,0.6131069876732554,0.4265499151413811
