Customer ID,Age,Gender,Location,Marital Status,Household Income,Family Members,Education Level,Plan Type,Subscription Duration (months),Monthly Charges,Data Usage (GB),Voice Minutes Usage,SMS Usage,Preferred Communication Channel,Preferred Communication Time,Preferred Services/Features,Preferred Payment Method,Feedback Score,Interactions with Customer Service,Complaints Reported,Churn Label
1,56,Male,Miami,Single,46724,3,High School,Prepaid,59,109,39,1864,103,Email,Morning,International Calling,Bank Transfer,6,0,0,0
2,69,Male,New York,Widowed,33828,2,Associate's,Postpaid,17,133,29,339,437,Email,Anytime,International Calling,Debit Card,7,1,0,0
3,46,Female,Chicago,Single,146656,1,Bachelor's,Prepaid,35,65,26,462,57,Phone,Afternoon,Data Rollover,Bank Transfer,9,2,1,0
4,32,Male,Los Angeles,Widowed,47087,2,Associate's,Prepaid,48,54,21,921,249,Email,Evening,International Calling,Online,8,1,1,1
5,60,Male,Chicago,Married,42605,5,High School,Prepaid,5,116,17,1512,356,Email,Morning,Family Plan,Debit Card,5,3,1,1
6,25,Female,Miami,Divorced,61337,4,High School,Postpaid,48,105,16,1776,222,SMS,Anytime,Family Plan,Online,8,2,2,0
7,78,Male,Los Angeles,Married,35482,5,Master's,Postpaid,32,127,31,767,445,Phone,Evening,Data Rollover,Debit Card,9,1,1,1
8,38,Male,Houston,Widowed,95333,4,Bachelor's,Prepaid,3,65,9,1422,349,Email,Afternoon,International Calling,Online,6,0,2,1
9,56,Male,Chicago,Divorced,122541,5,Bachelor's,Prepaid,52,130,31,1980,333,SMS,Afternoon,Family Plan,Debit Card,9,3,1,1
10,75,Male,Los Angeles,Widowed,118296,3,High School,Postpaid,47,96,14,1494,148,SMS,Anytime,Data Rollover,Bank Transfer,5,4,1,0
11,36,Male,Chicago,Divorced,80952,2,Bachelor's,Prepaid,35,38,49,198,214,Phone,Afternoon,Family Plan,Bank Transfer,9,4,0,0
12,40,Female,Los Angeles,Divorced,35463,4,Master's,Prepaid,52,90,37,146,390,Phone,Morning,Data Rollover,Bank Transfer,6,0,2,1
13,28,Male,New York,Divorced,142164,1,Associate's,Postpaid,14,82,2,938,82,SMS,Anytime,Data Rollover,Online,8,3,1,0
14,28,Male,Chicago,Divorced,100448,2,Bachelor's,Prepaid,48,47,48,521,13,Phone,Evening,Unlimited Data,Bank Transfer,7,3,0,0
15,41,Male,Houston,Widowed,34648,1,High School,Prepaid,31,72,46,1603,85,Phone,Anytime,Unlimited Data,Online,8,3,2,1
16,70,Male,Houston,Divorced,63623,2,Associate's,Postpaid,31,64,14,1702,338,SMS,Anytime,International Calling,Debit Card,6,3,2,0
17,53,Male,Miami,Divorced,89156,2,Associate's,Postpaid,17,92,33,161,86,SMS,Evening,Unlimited Data,Online,6,4,1,0
18,57,Female,Los Angeles,Married,65634,5,Master's,Prepaid,24,148,35,1232,313,Phone,Afternoon,Data Rollover,Debit Card,5,1,2,0
19,41,Male,Chicago,Single,74602,4,High School,Postpaid,52,127,39,1802,265,Email,Evening,Family Plan,Credit Card,9,3,0,0
20,20,Female,Miami,Single,144598,4,Bachelor's,Prepaid,23,134,47,1672,419,Phone,Morning,Family Plan,Credit Card,9,1,0,0
21,39,Female,Chicago,Married,79334,2,High School,Prepaid,18,107,20,1242,111,Email,Afternoon,International Calling,Credit Card,8,3,2,1
22,70,Male,Los Angeles,Married,98648,3,Associate's,Prepaid,50,33,2,1109,115,SMS,Anytime,Unlimited Data,Online,7,2,0,0
23,19,Male,Houston,Widowed,52054,3,High School,Postpaid,54,122,41,697,342,Email,Afternoon,International Calling,Credit Card,7,2,2,0
24,41,Male,New York,Widowed,100028,1,Bachelor's,Postpaid,14,70,19,1505,48,SMS,Afternoon,Data Rollover,Credit Card,5,2,0,1
25,61,Male,Houston,Widowed,52207,1,Bachelor's,Prepaid,50,74,37,491,485,Phone,Morning,Unlimited Data,Credit Card,6,3,2,1
26,47,Female,Miami,Married,110650,5,Master's,Prepaid,15,79,18,1076,323,Phone,Afternoon,International Calling,Debit Card,5,1,2,0
27,55,Male,New York,Married,129821,2,Bachelor's,Postpaid,15,108,16,1175,284,SMS,Afternoon,Family Plan,Bank Transfer,9,4,2,1
28,19,Male,Miami,Divorced,111554,1,Bachelor's,Postpaid,6,57,4,702,97,SMS,Afternoon,Family Plan,Online,6,0,0,0
29,77,Male,Los Angeles,Widowed,51386,1,High School,Postpaid,27,71,12,1412,220,SMS,Anytime,International Calling,Credit Card,5,4,2,1
30,38,Male,New York,Widowed,113276,2,High School,Prepaid,15,109,29,436,378,Phone,Afternoon,International Calling,Debit Card,8,3,2,0
31,50,Male,Miami,Widowed,89518,5,Associate's,Postpaid,50,105,7,909,86,Phone,Evening,International Calling,Bank Transfer,9,2,1,1
32,29,Male,Los Angeles,Single,82781,1,Master's,Postpaid,36,145,14,1327,86,Email,Afternoon,Data Rollover,Bank Transfer,7,2,1,0
33,75,Female,Houston,Divorced,82780,5,High School,Prepaid,55,98,12,1361,451,SMS,Morning,Data Rollover,Bank Transfer,5,1,2,1
34,39,Female,Los Angeles,Widowed,91440,4,Bachelor's,Prepaid,8,127,35,1505,37,Email,Afternoon,Family Plan,Debit Card,9,3,1,0
35,78,Male,Chicago,Widowed,74199,5,Associate's,Prepaid,15,135,5,1790,254,Phone,Afternoon,Data Rollover,Credit Card,9,4,2,0
36,61,Male,Los Angeles,Widowed,91035,3,High School,Postpaid,3,30,17,851,75,Email,Anytime,Data Rollover,Bank Transfer,7,3,1,0
37,42,Male,Los Angeles,Single,38210,3,Master's,Prepaid,47,68,42,1259,275,Email,Evening,Unlimited Data,Debit Card,7,3,0,1
38,66,Female,Chicago,Single,74363,5,Master's,Prepaid,13,125,32,1530,391,Phone,Afternoon,Data Rollover,Debit Card,7,2,0,1
39,44,Male,Miami,Married,141175,3,Associate's,Prepaid,41,119,10,1631,479,Phone,Evening,Unlimited Data,Online,5,4,2,0
40,76,Female,Miami,Divorced,108279,4,Associate's,Prepaid,34,46,43,1485,214,SMS,Morning,Data Rollover,Debit Card,7,0,2,0
41,59,Male,Los Angeles,Married,90348,2,Associate's,Postpaid,24,141,17,1504,67,Email,Anytime,Family Plan,Bank Transfer,8,2,0,0
42,45,Male,Chicago,Divorced,85284,3,Associate's,Prepaid,40,120,5,980,210,Phone,Evening,International Calling,Bank Transfer,9,4,0,0
43,77,Male,Chicago,Single,137628,3,Associate's,Postpaid,32,117,45,1699,234,Phone,Anytime,Family Plan,Debit Card,7,1,1,1
44,33,Male,Houston,Widowed,139835,5,Bachelor's,Postpaid,32,64,42,734,151,Email,Afternoon,Data Rollover,Bank Transfer,9,2,2,1
45,32,Female,Miami,Married,102124,4,Bachelor's,Postpaid,30,75,9,353,390,Phone,Morning,International Calling,Debit Card,6,1,0,1
46,79,Female,New York,Widowed,98847,2,High School,Prepaid,52,71,49,1600,377,SMS,Anytime,International Calling,Bank Transfer,6,2,0,0
47,79,Male,Miami,Married,52432,5,Master's,Postpaid,49,147,33,1237,93,SMS,Afternoon,International Calling,Online,7,3,2,0
48,64,Male,Miami,Single,94089,5,Bachelor's,Prepaid,13,68,36,119,152,Email,Evening,Unlimited Data,Credit Card,9,4,1,1
49,79,Female,Houston,Single,85398,4,Bachelor's,Prepaid,1,119,36,627,361,SMS,Morning,Family Plan,Online,6,1,1,1
50,68,Female,New York,Single,129291,2,Bachelor's,Prepaid,34,78,18,1268,42,Phone,Morning,Unlimited Data,Online,7,2,1,1
51,61,Female,Houston,Married,33321,4,High School,Postpaid,15,91,9,1331,410,Phone,Evening,International Calling,Credit Card,9,1,1,1
52,72,Female,New York,Divorced,111348,2,Associate's,Prepaid,44,67,29,1654,161,Phone,Evening,Family Plan,Bank Transfer,7,2,0,0
53,69,Male,Los Angeles,Married,67383,4,High School,Prepaid,14,52,14,475,167,Phone,Morning,Family Plan,Credit Card,9,2,2,0
54,74,Female,New York,Divorced,143816,5,Master's,Prepaid,57,51,25,1627,455,Email,Anytime,Data Rollover,Debit Card,6,0,2,0
55,20,Male,Houston,Married,108682,5,Master's,Postpaid,29,33,15,265,150,SMS,Morning,Unlimited Data,Credit Card,7,0,0,1
56,54,Female,Miami,Married,109190,1,Master's,Postpaid,34,78,6,1673,455,SMS,Evening,Unlimited Data,Online,6,0,0,0
57,68,Female,New York,Single,82893,3,Master's,Postpaid,18,88,42,1304,260,Phone,Anytime,Data Rollover,Credit Card,7,1,0,1
58,24,Female,New York,Widowed,65820,4,Bachelor's,Prepaid,54,102,29,960,312,Email,Afternoon,Unlimited Data,Bank Transfer,5,3,2,1
59,38,Female,Chicago,Widowed,96262,1,Bachelor's,Postpaid,7,97,15,716,121,Phone,Morning,International Calling,Online,6,2,2,1
60,26,Female,Miami,Divorced,33760,3,High School,Prepaid,29,100,29,711,153,Phone,Evening,International Calling,Debit Card,6,4,2,1
61,56,Male,Los Angeles,Widowed,52190,4,Associate's,Prepaid,55,116,4,1725,459,Email,Afternoon,Unlimited Data,Bank Transfer,8,0,1,1
62,35,Male,Houston,Married,97411,2,Master's,Postpaid,31,31,18,1935,218,Email,Morning,Data Rollover,Online,6,1,0,0
63,21,Female,Los Angeles,Married,53377,3,High School,Prepaid,25,78,49,1567,233,Phone,Morning,Family Plan,Debit Card,9,1,0,0
64,42,Female,Miami,Single,76737,5,Bachelor's,Postpaid,38,117,44,1455,52,SMS,Anytime,Unlimited Data,Bank Transfer,7,1,0,0
65,77,Male,New York,Single,99569,1,Bachelor's,Prepaid,14,133,39,602,273,Phone,Evening,Family Plan,Debit Card,5,4,2,1
66,31,Female,New York,Widowed,68211,3,Associate's,Postpaid,8,148,16,1012,253,SMS,Afternoon,Data Rollover,Credit Card,9,4,0,0
67,67,Female,Miami,Divorced,112909,3,Associate's,Prepaid,27,124,11,178,12,SMS,Morning,Family Plan,Credit Card,9,0,0,1
68,75,Male,New York,Widowed,33744,5,Associate's,Prepaid,54,140,14,684,134,Email,Anytime,Data Rollover,Debit Card,9,4,1,0
69,26,Female,New York,Widowed,54995,4,High School,Prepaid,2,60,3,787,277,Email,Afternoon,Data Rollover,Credit Card,9,0,2,1
70,43,Female,New York,Widowed,46977,2,Bachelor's,Prepaid,17,140,42,495,93,Phone,Afternoon,International Calling,Debit Card,5,4,0,1
71,70,Male,Houston,Widowed,127938,5,Bachelor's,Prepaid,37,69,38,1731,25,SMS,Morning,International Calling,Bank Transfer,8,4,2,0
72,19,Male,Houston,Married,64542,2,Associate's,Postpaid,14,77,45,1980,343,SMS,Afternoon,Data Rollover,Online,6,4,2,1
73,37,Male,Chicago,Divorced,40651,4,Master's,Prepaid,25,80,42,1226,473,Phone,Morning,Unlimited Data,Debit Card,9,0,2,0
74,45,Female,Los Angeles,Married,129239,3,Associate's,Postpaid,56,72,18,501,68,Phone,Anytime,International Calling,Online,6,2,1,0
75,64,Male,Miami,Divorced,108931,2,High School,Postpaid,30,127,20,1074,186,Phone,Anytime,Data Rollover,Online,6,0,2,0
76,77,Male,Miami,Single,125344,1,Associate's,Postpaid,29,84,48,323,72,Email,Afternoon,Family Plan,Debit Card,9,2,2,1
